"Time","Indicator","Age","Place of residence","Sex","Unit","Value"
"2015","Deaths","0","Urban and rural areas","Males and females","persons","132"
"2015","Deaths","0","Urban and rural areas","Males","persons","76"
"2015","Deaths","0","Urban and rural areas","Females","persons","56"
"2016","Deaths","0","Urban and rural areas","Males and females","persons","139"
"2016","Deaths","0","Urban and rural areas","Males","persons","69"
"2016","Deaths","0","Urban and rural areas","Females","persons","70"
"2017","Deaths","0","Urban and rural areas","Males and females","persons","85"
"2017","Deaths","0","Urban and rural areas","Males","persons","45"
"2017","Deaths","0","Urban and rural areas","Females","persons","40"
"2018","Deaths","0","Urban and rural areas","Males and females","persons","96"
"2018","Deaths","0","Urban and rural areas","Males","persons","55"
"2018","Deaths","0","Urban and rural areas","Females","persons","41"
"2019","Deaths","0","Urban and rural areas","Males and females","persons","90"
"2019","Deaths","0","Urban and rural areas","Males","persons","55"
"2019","Deaths","0","Urban and rural areas","Females","persons","35"
"2020","Deaths","0","Urban and rural areas","Males and females","persons","70"
"2020","Deaths","0","Urban and rural areas","Males","persons","40"
"2020","Deaths","0","Urban and rural areas","Females","persons","30"
"2021","Deaths","0","Urban and rural areas","Males and females","persons","73"
"2021","Deaths","0","Urban and rural areas","Males","persons","45"
"2021","Deaths","0","Urban and rural areas","Females","persons","28"
"2022","Deaths","0","Urban and rural areas","Males and females","persons","67"
"2022","Deaths","0","Urban and rural areas","Males","persons","37"
"2022","Deaths","0","Urban and rural areas","Females","persons","30"
"2023","Deaths","0","Urban and rural areas","Males and females","persons","57"
"2023","Deaths","0","Urban and rural areas","Males","persons","33"
"2023","Deaths","0","Urban and rural areas","Females","persons","24"
"2024","Deaths","0","Urban and rural areas","Males and females","persons","56"
"2024","Deaths","0","Urban and rural areas","Males","persons","28"
"2024","Deaths","0","Urban and rural areas","Females","persons","28"
"2015","Deaths","1","Urban and rural areas","Males and females","persons","15"
"2015","Deaths","1","Urban and rural areas","Males","persons","6"
"2015","Deaths","1","Urban and rural areas","Females","persons","9"
"2016","Deaths","1","Urban and rural areas","Males and females","persons","12"
"2016","Deaths","1","Urban and rural areas","Males","persons","7"
"2016","Deaths","1","Urban and rural areas","Females","persons","5"
"2017","Deaths","1","Urban and rural areas","Males and females","persons","6"
"2017","Deaths","1","Urban and rural areas","Males","persons","4"
